percept_x1,percept_x2,object_id,object_phi_x1,object_phi_x2,cluster_id,cluster_mu_x1,cluster_mu_x2,category_id
-0.332,2.087,1,0.574,2.281,1,0.674,1.919,2
1.108,1.836,1,0.574,2.281,1,0.674,1.919,2
0.078,1.826,1,0.574,2.281,1,0.674,1.919,2
0.129,1.873,1,0.574,2.281,1,0.674,1.919,2
0.876,1.527,1,0.574,2.281,1,0.674,1.919,2
0.379,1.845,1,0.574,2.281,1,0.674,1.919,2
0.067,2.164,1,0.574,2.281,1,0.674,1.919,2
0.197,2.001,1,0.574,2.281,1,0.674,1.919,2
0.155,2.396,1,0.574,2.281,1,0.674,1.919,2
0.957,2.59,1,0.574,2.281,1,0.674,1.919,2
0.186,2.099,1,0.574,2.281,1,0.674,1.919,2
-0.158,1.992,1,0.574,2.281,1,0.674,1.919,2
1.326,3.636,1,0.574,2.281,1,0.674,1.919,2
1.02,2.463,1,0.574,2.281,1,0.674,1.919,2
-0.7,1.134,1,0.574,2.281,1,0.674,1.919,2
-0.077,1.294,1,0.574,2.281,1,0.674,1.919,2
0.212,2.761,1,0.574,2.281,1,0.674,1.919,2
-0.063,2.16,1,0.574,2.281,1,0.674,1.919,2
0.144,0.383,2,0.293,-0.044,2,-0.085,0.702,2
0.467,-0.814,2,0.293,-0.044,2,-0.085,0.702,2
0.263,-0.412,2,0.293,-0.044,2,-0.085,0.702,2
-0.275,-0.973,2,0.293,-0.044,2,-0.085,0.702,2
0.526,-0.135,2,0.293,-0.044,2,-0.085,0.702,2
0.738,-0.12,2,0.293,-0.044,2,-0.085,0.702,2
-0.019,-0.257,2,0.293,-0.044,2,-0.085,0.702,2
0.751,-0.62,2,0.293,-0.044,2,-0.085,0.702,2
1.619,0.318,2,0.293,-0.044,2,-0.085,0.702,2
1.146,-0.212,2,0.293,-0.044,2,-0.085,0.702,2
0.945,-0.504,2,0.293,-0.044,2,-0.085,0.702,2
0.494,-0.379,2,0.293,-0.044,2,-0.085,0.702,2
-0.609,0.247,2,0.293,-0.044,2,-0.085,0.702,2
-0.316,-0.425,2,0.293,-0.044,2,-0.085,0.702,2
0.286,0.133,2,0.293,-0.044,2,-0.085,0.702,2
-0.397,-0.484,2,0.293,-0.044,2,-0.085,0.702,2
-0.297,-0.071,2,0.293,-0.044,2,-0.085,0.702,2
0.603,0.137,2,0.293,-0.044,2,-0.085,0.702,2
0.127,0.366,3,0.711,0.698,2,-0.085,0.702,2
1.248,2.295,3,0.711,0.698,2,-0.085,0.702,2
0.095,-0.301,3,0.711,0.698,2,-0.085,0.702,2
2.065,0.464,3,0.711,0.698,2,-0.085,0.702,2
0.949,0.504,3,0.711,0.698,2,-0.085,0.702,2
0.368,0.244,3,0.711,0.698,2,-0.085,0.702,2
0.946,-0.265,3,0.711,0.698,2,-0.085,0.702,2
1.482,0.938,3,0.711,0.698,2,-0.085,0.702,2
0.606,0.123,3,0.711,0.698,2,-0.085,0.702,2
0.481,1.024,3,0.711,0.698,2,-0.085,0.702,2
1.034,1.975,3,0.711,0.698,2,-0.085,0.702,2
0.345,1.427,3,0.711,0.698,2,-0.085,0.702,2
-0.404,0.501,3,0.711,0.698,2,-0.085,0.702,2
0.676,-0.609,3,0.711,0.698,2,-0.085,0.702,2
-0.364,0.849,3,0.711,0.698,2,-0.085,0.702,2
-0.268,-0.011,3,0.711,0.698,2,-0.085,0.702,2
0.811,0.954,3,0.711,0.698,2,-0.085,0.702,2
1.419,1.031,3,0.711,0.698,2,-0.085,0.702,2
-0.324,1.949,4,-0.274,1.319,2,-0.085,0.702,2
-0.095,1.809,4,-0.274,1.319,2,-0.085,0.702,2
-1.104,1.841,4,-0.274,1.319,2,-0.085,0.702,2
1.012,1.636,4,-0.274,1.319,2,-0.085,0.702,2
-0.641,2.473,4,-0.274,1.319,2,-0.085,0.702,2
-0.211,1.443,4,-0.274,1.319,2,-0.085,0.702,2
-0.087,1.988,4,-0.274,1.319,2,-0.085,0.702,2
-0.02,-0.015,4,-0.274,1.319,2,-0.085,0.702,2
-0.724,0.497,4,-0.274,1.319,2,-0.085,0.702,2
0.347,1.292,4,-0.274,1.319,2,-0.085,0.702,2
-1.022,1.397,4,-0.274,1.319,2,-0.085,0.702,2
-0.301,1.868,4,-0.274,1.319,2,-0.085,0.702,2
-1.585,2.035,4,-0.274,1.319,2,-0.085,0.702,2
-0.951,1.821,4,-0.274,1.319,2,-0.085,0.702,2
0.16,1.66,4,-0.274,1.319,2,-0.085,0.702,2
-1.171,0.567,4,-0.274,1.319,2,-0.085,0.702,2
-2.088,2.041,4,-0.274,1.319,2,-0.085,0.702,2
0.298,1.071,4,-0.274,1.319,2,-0.085,0.702,2
-0.392,1.702,5,0.028,0.255,2,-0.085,0.702,2
0.34,-0.822,5,0.028,0.255,2,-0.085,0.702,2
0.4,-0.21,5,0.028,0.255,2,-0.085,0.702,2
-0.565,-0.75,5,0.028,0.255,2,-0.085,0.702,2
-0.421,-0.509,5,0.028,0.255,2,-0.085,0.702,2
0.656,-0.124,5,0.028,0.255,2,-0.085,0.702,2
1.018,0.075,5,0.028,0.255,2,-0.085,0.702,2
0.604,-0.194,5,0.028,0.255,2,-0.085,0.702,2
0.273,0.626,5,0.028,0.255,2,-0.085,0.702,2
-0.16,-1.551,5,0.028,0.255,2,-0.085,0.702,2
0.064,-0.349,5,0.028,0.255,2,-0.085,0.702,2
-0.598,-0.329,5,0.028,0.255,2,-0.085,0.702,2
-0.627,0.444,5,0.028,0.255,2,-0.085,0.702,2
0.37,0.319,5,0.028,0.255,2,-0.085,0.702,2
-0.291,0.676,5,0.028,0.255,2,-0.085,0.702,2
-0.099,0.505,5,0.028,0.255,2,-0.085,0.702,2
-0.769,0.786,5,0.028,0.255,2,-0.085,0.702,2
0.824,0.093,5,0.028,0.255,2,-0.085,0.702,2
0.23,0.562,6,0.283,0.906,2,-0.085,0.702,2
0.609,0.062,6,0.283,0.906,2,-0.085,0.702,2
-0.413,0.953,6,0.283,0.906,2,-0.085,0.702,2
0.922,1.17,6,0.283,0.906,2,-0.085,0.702,2
-0.521,0.786,6,0.283,0.906,2,-0.085,0.702,2
-1.049,0.854,6,0.283,0.906,2,-0.085,0.702,2
-0.658,0.538,6,0.283,0.906,2,-0.085,0.702,2
0.816,0.836,6,0.283,0.906,2,-0.085,0.702,2
0.663,1.451,6,0.283,0.906,2,-0.085,0.702,2
0.585,0.726,6,0.283,0.906,2,-0.085,0.702,2
0.092,1.389,6,0.283,0.906,2,-0.085,0.702,2
0.869,1.522,6,0.283,0.906,2,-0.085,0.702,2
0.013,0.693,6,0.283,0.906,2,-0.085,0.702,2
-0.188,1.361,6,0.283,0.906,2,-0.085,0.702,2
0.036,-0.068,6,0.283,0.906,2,-0.085,0.702,2
-0.347,0.214,6,0.283,0.906,2,-0.085,0.702,2
-0.211,1.227,6,0.283,0.906,2,-0.085,0.702,2
0.768,1.68,6,0.283,0.906,2,-0.085,0.702,2
-0.002,2.884,7,0.425,1.963,1,0.674,1.919,2
0.986,1.084,7,0.425,1.963,1,0.674,1.919,2
0.549,1.328,7,0.425,1.963,1,0.674,1.919,2
1.273,1.96,7,0.425,1.963,1,0.674,1.919,2
0.149,2.998,7,0.425,1.963,1,0.674,1.919,2
0.769,2.261,7,0.425,1.963,1,0.674,1.919,2
-0.23,2.682,7,0.425,1.963,1,0.674,1.919,2
-0.133,1.282,7,0.425,1.963,1,0.674,1.919,2
1.767,1.196,7,0.425,1.963,1,0.674,1.919,2
-0.081,1.325,7,0.425,1.963,1,0.674,1.919,2
0.435,2.152,7,0.425,1.963,1,0.674,1.919,2
-0.042,1.778,7,0.425,1.963,1,0.674,1.919,2
1.329,1.904,7,0.425,1.963,1,0.674,1.919,2
0.042,0.541,7,0.425,1.963,1,0.674,1.919,2
-0.235,2.323,7,0.425,1.963,1,0.674,1.919,2
1.395,3.306,7,0.425,1.963,1,0.674,1.919,2
0.134,1.079,7,0.425,1.963,1,0.674,1.919,2
0.398,2.212,7,0.425,1.963,1,0.674,1.919,2
2.195,2.137,8,2.259,2.2,3,3.163,1.569,2
1.839,3.146,8,2.259,2.2,3,3.163,1.569,2
2.76,1.681,8,2.259,2.2,3,3.163,1.569,2
1.157,2.115,8,2.259,2.2,3,3.163,1.569,2
3.338,2.185,8,2.259,2.2,3,3.163,1.569,2
3.319,2.76,8,2.259,2.2,3,3.163,1.569,2
2.7,2.341,8,2.259,2.2,3,3.163,1.569,2
2.263,2.333,8,2.259,2.2,3,3.163,1.569,2
1.657,1.965,8,2.259,2.2,3,3.163,1.569,2
2.428,2.523,8,2.259,2.2,3,3.163,1.569,2
2.715,1.249,8,2.259,2.2,3,3.163,1.569,2
