split,true_cat,test_idx,test_x1,test_x2,logp_cat1,logp_cat2,pred_cat,correct,model,training_type
1,1,1,-0.889,0.16,-1.9299660160161949,-3.204928853018512,1,true,trad,uniform
1,1,2,-0.778,-0.378,-1.3986158721129702,-3.4755267675138737,1,true,trad,uniform
1,1,3,-0.184,0.81,-2.8376061721636745,-2.586890312724854,2,false,trad,uniform
1,1,4,-0.471,0.233,-1.5194840285237052,-2.8563415352266337,1,true,trad,uniform
1,1,5,-0.783,0.061,-1.6219811538968694,-3.1754361710798493,1,true,trad,uniform
1,1,6,-0.38,0.023,-1.1571585178395414,-2.8694881930448912,1,true,trad,uniform
1,1,7,1.424,-1.028,-4.448493885720675,-4.096107518282392,2,false,trad,uniform
1,1,8,0.192,0.068,-1.2317296044450672,-1.8533555068847618,1,true,trad,uniform
1,1,9,0.702,0.185,-2.102836329704792,-1.4319373553770536,2,false,trad,uniform
1,1,10,0.699,-0.078,-1.784889034883819,-1.510655097444125,2,false,trad,uniform
1,1,11,0.13,-0.774,-1.1903594414937835,-3.3058931461249266,1,true,trad,uniform
1,1,12,0.284,-0.706,-1.2249982604353393,-3.0768854410493223,1,true,trad,uniform
1,1,13,0.531,-0.903,-1.7923708278627593,-3.434423239861245,1,true,trad,uniform
1,1,14,0.046,-0.416,-0.8975914742457386,-2.7334954646685294,1,true,trad,uniform
1,1,15,-0.461,-1.103,-1.9217434115071848,-4.043389042055435,1,true,trad,uniform
1,1,16,0.074,-0.862,-1.2873165949943384,-3.4829772359333493,1,true,trad,uniform
1,1,17,0.664,-0.859,-1.9611540307776,-3.360030290111296,1,true,trad,uniform
1,1,18,0.397,-0.464,-1.185516501506971,-2.3925430301675674,1,true,trad,uniform
1,1,19,0.669,-0.95,-2.1147114278396817,-3.5471441856015993,1,true,trad,uniform
1,1,20,0.603,-1.452,-3.1836376101553996,-4.339107093185434,1,true,trad,uniform
1,1,21,-0.745,1.356,-5.335569121697517,-2.9360586499140564,2,false,trad,uniform
1,1,22,-0.437,1.075,-3.9023570448871863,-2.720697212039605,2,false,trad,uniform
1,1,23,-1.568,1.201,-6.324850645804656,-3.653551248742716,2,false,trad,uniform
1,1,24,-1.51,0.988,-5.4963640892783445,-3.5779221955328473,2,false,trad,uniform
1,1,25,-0.538,1.128,-4.196264742674079,-2.7779874376288016,2,false,trad,uniform
1,1,26,0.356,-0.922,-1.5869782782289614,-3.488231703535369,1,true,trad,uniform
1,1,27,0.35,-0.598,-1.198513164560123,-2.7785064488419016,1,true,trad,uniform
1,1,28,-0.135,-1.221,-1.9957611433771243,-4.063581738617827,1,true,trad,uniform
1,1,29,-0.051,-0.817,-1.1969560416233707,-3.4772202954231206,1,true,trad,uniform
1,1,30,-0.487,-0.54,-1.112708838727142,-3.418755357258072,1,true,trad,uniform
1,1,31,0.319,-0.75,-1.307250265173491,-3.155510677791377,1,true,trad,uniform
1,1,32,0.098,-0.133,-0.9838463597822923,-2.2025367345385973,1,true,trad,uniform
1,1,33,0.943,0.157,-2.6329340639079564,-1.75406620824016,2,false,trad,uniform
1,1,34,0.326,-0.201,-1.1224208771655797,-1.8799166918016885,1,true,trad,uniform
1,1,35,0.499,-0.091,-1.4156167480907205,-1.5225079694612171,1,true,trad,uniform
1,1,36,-0.727,-0.458,-1.3508041281405143,-3.5072873584921167,1,true,trad,uniform
1,1,37,-0.289,-0.736,-1.1514180934657041,-3.50696387324476,1,true,trad,uniform
1,1,38,0.269,-0.168,-1.0825612850177868,-1.9169036921893312,1,true,trad,uniform
1,1,39,-0.789,0.128,-1.7194393178896468,-3.144568536170441,1,true,trad,uniform
1,1,40,-0.613,-0.678,-1.3722176102992718,-3.6401928920838005,1,true,trad,uniform
1,1,41,-0.393,0.017,-1.1583609421542158,-2.8859969278086863,1,true,trad,uniform
1,1,42,-0.511,0.158,-1.4321977717420709,-2.919927057791516,1,true,trad,uniform
1,1,43,-0.211,0.471,-1.8772797482651682,-2.579548873524242,1,true,trad,uniform
1,1,44,-0.581,0.238,-1.6304374124023215,-2.939400247738955,1,true,trad,uniform
1,1,45,-0.277,-0.55,-0.9741556677094667,-3.279139106555224,1,true,trad,uniform
1,1,46,0.417,0.235,-1.7059730258053003,-1.5278350971379575,2,false,trad,uniform
1,1,47,0.6,1.253,-5.001184145642583,-2.551630834835512,2,false,trad,uniform
1,1,48,-0.149,0.693,-2.4630332070224488,-2.5532016336341763,1,true,trad,uniform
1,1,49,0.036,0.159,-1.2749468807185318,-2.170700534442811,1,true,trad,uniform
1,1,50,0.2,-0.668,-1.119405350379776,-3.0554626691361086,1,true,trad,uniform
1,2,1,-0.285,-0.028,-1.056032125198388,-2.7921522681307325,1,false,trad,uniform
1,2,2,-0.594,-0.132,-1.2040565084949946,-3.15192820487088,1,false,trad,uniform
1,2,3,-0.473,0.313,-1.670915925649867,-2.8302413940627367,1,false,trad,uniform
1,2,4,-0.604,1.166,-4.410958650887803,-2.8187328661745106,2,true,trad,uniform
1,2,5,0.032,0.411,-1.7441482660604837,-2.2634772115948145,1,false,trad,uniform
1,2,6,-0.649,2.324,-8.221014184499774,-3.3529304790168872,2,true,trad,uniform
1,2,7,-0.786,1.877,-7.293596592107245,-3.152228045655047,2,true,trad,uniform
1,2,8,0.305,0.129,-1.4102425604959763,-1.6360420448011508,1,false,trad,uniform
1,2,9,-1.638,0.639,-4.864968411987363,-3.763360411585018,2,true,trad,uniform
1,2,10,-0.74,0.723,-3.0150489164534977,-2.9149356458290208,2,true,trad,uniform
1,2,11,-1.396,0.166,-3.141248213852027,-3.66240376572164,1,false,trad,uniform
1,2,12,-0.834,0.928,-3.8321448165275642,-2.9614656876781287,2,true,trad,uniform
1,2,13,-0.305,1.334,-4.858876149947115,-2.69694341133726,2,true,trad,uniform
1,2,14,-1.366,0.765,-4.417772380958571,-3.4412507007881183,2,true,trad,uniform
1,2,15,-1.971,0.07,-5.065030875700272,-4.400595616421995,2,true,trad,uniform
1,2,16,0.366,1.994,-7.482922249011867,-2.828157962836992,2,true,trad,uniform
1,2,17,0.055,2.113,-7.6918008504532045,-2.9285330569303247,2,true,trad,uniform
1,2,18,0.935,0.536,-3.3533306039752224,-2.1212725964895194,2,true,trad,uniform
1,2,19,0.556,0.213,-1.8741719570819109,-1.4180421155793221,2,true,trad,uniform
1,2,20,0.211,1.162,-4.2036830524030115,-2.5235478421804527,2,true,trad,uniform
1,2,21,2.708,0.31,-8.619148027188736,-4.3467080049766755,2,true,trad,uniform
1,2,22,3.882,1.206,-9.969231266326712,-6.1733491730656125,2,true,trad,uniform
1,2,23,4.204,1.425,-10.274344356162935,-6.859026480053097,2,true,trad,uniform
1,2,24,3.906,-0.69,-9.885437835273857,-6.996026720210419,2,true,trad,uniform
1,2,25,3.72,0.709,-9.729420375715481,-5.880878140369019,2,true,trad,uniform
1,2,26,0.119,2.039,-7.514688556781924,-2.8712323914138973,2,true,trad,uniform
1,2,27,0.842,1.062,-4.732158002490008,-2.5473249929570088,2,true,trad,uniform
1,2,28,0.9,1.242,-5.516310890080033,-2.625800825903069,2,true,trad,uniform
1,2,29,0.836,0.367,-2.7288772194155455,-1.7500506060395469,2,true,trad,uniform
1,2,30,0.467,1.8,-6.955471775444534,-2.7288812657735546,2,true,trad,uniform
1,2,31,0.345,1.427,-5.393828396717867,-2.583770976773154,2,true,trad,uniform
