percept_x1,percept_x2,object_id,object_phi_x1,object_phi_x2,cluster_id,cluster_mu_x1,cluster_mu_x2,category_id
0.024,-0.543,16,0.206,-0.867,1,0.141,-0.253,1
0.026,-1.265,16,0.206,-0.867,1,0.141,-0.253,1
0.327,-0.128,16,0.206,-0.867,1,0.141,-0.253,1
0.013,-1.517,16,0.206,-0.867,1,0.141,-0.253,1
0.05,-0.991,16,0.206,-0.867,1,0.141,-0.253,1
-0.149,0.693,14,0.103,0.405,2,-0.097,-0.028,1
-0.005,0.431,14,0.103,0.405,2,-0.097,-0.028,1
0.036,0.159,14,0.103,0.405,2,-0.097,-0.028,1
0.2,-0.668,14,0.103,0.405,2,-0.097,-0.028,1
-0.165,1.266,14,0.103,0.405,2,-0.097,-0.028,1
0.282,-0.439,4,0.43,-0.792,1,0.141,-0.253,1
-0.547,-0.135,4,0.43,-0.792,1,0.141,-0.253,1
0.178,0.08,4,0.43,-0.792,1,0.141,-0.253,1
-0.015,-1.066,4,0.43,-0.792,1,0.141,-0.253,1
0.985,-1.321,4,0.43,-0.792,1,0.141,-0.253,1
-0.789,0.407,5,-0.459,0.347,2,-0.097,-0.028,1
-0.197,0.023,5,-0.459,0.347,2,-0.097,-0.028,1
-1.111,-0.233,5,-0.459,0.347,2,-0.097,-0.028,1
0.109,0.508,5,-0.459,0.347,2,-0.097,-0.028,1
-0.281,0.436,5,-0.459,0.347,2,-0.097,-0.028,1
-1.038,1.497,6,-1.139,0.969,3,-0.987,0.035,1
-1.51,0.988,6,-1.139,0.969,3,-0.987,0.035,1
-1.382,0.845,6,-1.139,0.969,3,-0.987,0.035,1
-1.359,1.197,6,-1.139,0.969,3,-0.987,0.035,1
-0.629,0.768,6,-1.139,0.969,3,-0.987,0.035,1
1.424,-1.028,18,0.64,-0.33,1,0.141,-0.253,1
0.539,-0.485,18,0.64,-0.33,1,0.141,-0.253,1
0.184,-0.753,18,0.64,-0.33,1,0.141,-0.253,1
0.49,-0.482,18,0.64,-0.33,1,0.141,-0.253,1
-0.38,0.023,18,0.64,-0.33,1,0.141,-0.253,1
-0.531,-0.057,15,-0.65,0.039,1,0.141,-0.253,1
-0.2,0.029,15,-0.65,0.039,1,0.141,-0.253,1
-0.211,0.471,15,-0.65,0.039,1,0.141,-0.253,1
-1.175,-0.306,15,-0.65,0.039,1,0.141,-0.253,1
-1.101,0.013,15,-0.65,0.039,1,0.141,-0.253,1
-0.135,-0.548,3,-0.35,-1.197,1,0.141,-0.253,1
-0.208,-1.159,3,-0.35,-1.197,1,0.141,-0.253,1
-0.222,-1.145,3,-0.35,-1.197,1,0.141,-0.253,1
-0.605,-1.396,3,-0.35,-1.197,1,0.141,-0.253,1
0.04,-1.569,3,-0.35,-1.197,1,0.141,-0.253,1
-0.184,-1.475,19,0.256,-0.863,1,0.141,-0.253,1
0.798,-0.533,19,0.256,-0.863,1,0.141,-0.253,1
-0.461,-1.103,19,0.256,-0.863,1,0.141,-0.253,1
0.046,-0.416,19,0.256,-0.863,1,0.141,-0.253,1
0.377,-0.88,19,0.256,-0.863,1,0.141,-0.253,1
-0.289,-0.736,2,-0.659,-0.558,2,-0.097,-0.028,1
-1.27,-0.252,2,-0.659,-0.558,2,-0.097,-0.028,1
-0.319,-0.665,2,-0.659,-0.558,2,-0.097,-0.028,1
-0.502,-0.476,2,-0.659,-0.558,2,-0.097,-0.028,1
-1.142,-0.455,2,-0.659,-0.558,2,-0.097,-0.028,1
