split,true_cat,test_idx,logp_cat1,logp_cat2,pred_cat,correct,model,training_type
1,1,1,-2.7890154902240902,-2.2229580789341905,2,false,trad,uniform
1,1,2,-2.5266416218052976,-2.0901724874108036,2,false,trad,uniform
1,1,3,-1.467969240776155,-1.5863940922170516,1,true,trad,uniform
1,1,4,-1.8642650682817128,-2.560313673619,1,true,trad,uniform
1,1,5,-1.661045250479888,-2.0627932567391696,1,true,trad,uniform
1,1,6,-4.747872798742817,-3.0872451768148355,2,false,trad,uniform
1,1,7,-4.694613351899017,-2.5902763882734408,2,false,trad,uniform
1,1,8,-6.074221588671888,-3.3269379747846415,2,false,trad,uniform
1,1,9,-2.8594165683682182,-2.2646152299305546,2,false,trad,uniform
1,1,10,-1.8673384208792771,-1.7324419607728916,2,false,trad,uniform
1,1,11,-3.18285129015317,-5.1782864169081915,1,true,trad,uniform
1,1,12,-4.402890364568998,-5.3167588677161675,1,true,trad,uniform
1,1,13,-1.4926675308368575,-3.004450195676192,1,true,trad,uniform
1,1,14,-3.125090356704065,-4.637509141757675,1,true,trad,uniform
1,1,15,-1.413819936978349,-3.1831162658792462,1,true,trad,uniform
1,1,16,-2.0864009509512838,-2.3206686483046637,1,true,trad,uniform
1,1,17,-1.8554485922622137,-2.7617955952761117,1,true,trad,uniform
1,1,18,-1.8498143113299652,-1.8926164610848324,1,true,trad,uniform
1,1,19,-3.3928249327794693,-4.016486157929588,1,true,trad,uniform
1,1,20,-1.8215976096199031,-2.715136377633124,1,true,trad,uniform
1,1,21,-2.614530257498411,-4.6720714740377804,1,true,trad,uniform
1,1,22,-3.0067909559927797,-4.523284051813794,1,true,trad,uniform
1,1,23,-2.5661866154089505,-2.803588013510201,1,true,trad,uniform
1,1,24,-3.1424494260864924,-4.675896990706154,1,true,trad,uniform
1,1,25,-2.5187789084259946,-5.380607463461812,1,true,trad,uniform
1,1,26,-3.04149438699023,-5.565845623560458,1,true,trad,uniform
1,1,27,-2.314571368026972,-5.665729211722573,1,true,trad,uniform
1,1,28,-2.8084164904835083,-6.457493888925315,1,true,trad,uniform
1,1,29,-2.6897375731878217,-4.326255685731312,1,true,trad,uniform
1,1,30,-3.3179952336675416,-6.120732590744549,1,true,trad,uniform
1,1,31,-3.2059105224354534,-4.214509708862126,1,true,trad,uniform
1,1,32,-3.1564123613979893,-3.821392066502032,1,true,trad,uniform
1,1,33,-3.712946510261069,-4.529598898212291,1,true,trad,uniform
1,1,34,-2.5806032662540326,-3.134058841410635,1,true,trad,uniform
1,1,35,-1.9705191572232164,-2.3729260657746813,1,true,trad,uniform
1,1,36,-1.2997039972284772,-3.7311357533129574,1,true,trad,uniform
1,1,37,-2.814350108273343,-2.85386228759194,1,true,trad,uniform
1,1,38,-3.8716629294492666,-3.125133750742097,2,false,trad,uniform
1,1,39,-4.997226848573761,-3.3693218986688294,2,false,trad,uniform
1,1,40,-1.8679969202497395,-3.1208595189329724,1,true,trad,uniform
1,1,41,-3.4895092436007724,-4.210905851325538,1,true,trad,uniform
1,1,42,-2.698119662519553,-3.3507108291400907,1,true,trad,uniform
1,1,43,-2.969169101072468,-3.6182593377756938,1,true,trad,uniform
1,1,44,-2.7239530654915605,-3.356819329894493,1,true,trad,uniform
1,1,45,-2.3822632898642118,-3.091013827573316,1,true,trad,uniform
1,1,46,-1.7018183961226028,-2.204072973197746,1,true,trad,uniform
1,1,47,-2.0150711006279676,-2.53528472988138,1,true,trad,uniform
1,1,48,-1.458694757924018,-1.7247124196712327,1,true,trad,uniform
1,1,49,-1.948021230280673,-2.28763357453982,1,true,trad,uniform
1,1,50,-2.6604456779722256,-3.2802872849223053,1,true,trad,uniform
1,2,1,-1.4337320283580395,-1.7730071335948971,1,false,trad,uniform
